Role ID,Role,Side,Domain,What They Do,Surface,Layer,Phase,Base Clearance (Tier),Tier Name,Capabilities (effective),Custom Capabilities / Denies,Data Scope Restriction,PII / PHI Access,Dual Control,Clinical Gate Relation
PL-092-CNUT,Pharmacist Reviewer (External),Customer,CLINICAL_CARE,External pharmacist drug–nutrient review.,Clinical Nutrition Experience,L3,Phase 3,T3,Reviewer / Gatekeeper,medication:interaction_review | recipe:clinical_gate_approve:drug_nutrient_scoped | note:write | view,gate:drug_nutrient_review,patient:assigned,Scoped PHI,No,approves_at:scoped
PL-093-CNUT,Care Team Admin,Customer,CLINICAL_CARE,Administers the care team surface.,Clinical Nutrition Experience,L3,Phase 3,O1,Org Admin,iam:invite | iam:grant_role | assign | audit:read_scoped | report:read_operational | view,careteam:manage,org:care-team,Scoped PHI,Yes (role grants),oversees_gate
PL-094-SL,Community Admin,Customer,SENIOR_LIVING,Administers the community/community group.,Senior Living Experience,L3,Phase 3,O1,Org Admin,iam:invite | iam:grant_role | facility:configure | billing:manage | audit:read_scoped | report:read_operational | view,facility:manage,org:community,Scoped (community),Yes (role grants),oversees_gate
PL-095-SL,Executive Director,Customer,SENIOR_LIVING,Community executive oversight.,Senior Living Experience,L3,Phase 3,O1,Org Admin,report:read_operational | approve:work | assign | audit:read_scoped | view,,org:community,Scoped (governance),No,oversees_gate
PL-096-SL,Dining Director,Customer,SENIOR_LIVING,Owns the dining program & menu cycles.,Senior Living Experience,L3,Phase 3,O2,Sub-Org / Facility Admin,menu:manage | recipe:generate | recipe:edit_flavor | planner:manage:community | shopping:manage | copy:recipe | print:recipe | assign | view,menu:cycle_manage,facility:assigned,Scoped (resident diet/care),No,submits_to
PL-097-SL,Chef or Kitchen Manager,Customer,SENIOR_LIVING,Runs the kitchen to spec.,Senior Living Experience,L3,Phase 3,O3,Org Operator,recipe:generate | recipe:edit_flavor | planner:use | shopping:manage | copy:recipe | print:recipe | food_acceptance:write | view,,facility:assigned,Scoped (diet/texture/allergen),No,submits_to
PL-098-SL,Resident Care Director,Customer,SENIOR_LIVING,Owns resident care plans & hard rules.,Senior Living Experience,L3,Phase 3,O2,Sub-Org / Facility Admin,care_profile:edit | hard_rule:edit | medication:view | assign | note:write | report:read_operational | view,care:oversee,facility:assigned,Scoped PHI,No,oversees_gate
PL-099-SL,Wellness Director,Customer,SENIOR_LIVING,Owns wellness & hydration programs.,Senior Living Experience,L3,Phase 3,O2,Sub-Org / Facility Admin,care_profile:view | hydration:program_manage | report:read_operational | note:write | view,,facility:assigned,Scoped,No,submits_to
PL-100-SL,Staff Nurse,Customer,SENIOR_LIVING,Floor nursing for assigned residents.,Senior Living Experience,L3,Phase 3,O3,Org Operator,care_profile:view | medication:view | food_acceptance:write | hydration:log | note:write | view,,resident:assigned,Scoped PHI,No,submits_to
PL-101-SL,RDN or Nutrition Lead (Community),Customer,SENIOR_LIVING,Community RDN; approves gate for the facility.,Senior Living Experience,L3,Phase 3,T3,Reviewer / Gatekeeper,care_profile:edit:nutrition | clinical_limit:set | recipe:clinical_gate_approve:scoped | menu:nutrition_review | note:write | view,gate:approve:facility,facility:assigned,Scoped PHI,No,approves_at:scoped
PL-102-SL,Caregiver or CNA,Customer,SENIOR_LIVING,Daily resident care execution.,Senior Living Experience,L3,Phase 3,O3,Org Operator,food_acceptance:write | hydration:log | note:write | dayplan:execute | copy:recipe | print:recipe | view,DENY:care_profile:edit,resident:assigned,Scoped (care-relevant),No,submits_to
PL-103-SL,Family Viewer (Senior Living),Customer,SENIOR_LIVING,"Family window into one resident, consent-gated.",Senior Living Experience,L3,Phase 3,T8,Reader / Viewer,view | favorite:recipe | copy:recipe:allowed | print:recipe:allowed | note:family,,resident:linked,Read-limited (one consented resident),No,reads_gate_status
PL-104-SL,Resident,Customer,SENIOR_LIVING,The resident — data subject.,Senior Living — Profile Subject,L3,Phase 3,T9,Data Subject,self:view | consent:manage | food_acceptance:self | note:self,consent:manage,subject:self,Self only,No,subject_of_gate
PL-105-SL,Procurement or Inventory Manager,Customer,SENIOR_LIVING,Supply & inventory only — no PHI.,Senior Living Experience,L3,Phase 3,O5,Aggregate / Ops Reader,inventory:manage | commerce:order | product_catalog:view | report:read_operational | view,,facility:assigned,"None (food/supply only, no resident PHI)",No,n/a
PL-106-VACC,Veteran,Customer,COMMUNITY_CARE,Veteran; may own their own household.,VA & Community Care Experience,L3,Phase 3,T9,Data Subject,self:view | consent:manage | recipe:generate:self | planner:use | hydration:log | food_log:self | copy:recipe | print:recipe | view,consent:manage | self_owner,subject:self,Self (own household),No,submits_to
PL-107-VACC,Family Caregiver (VA),Customer,COMMUNITY_CARE,Cares for a veteran.,VA & Community Care Experience,L3,Phase 3,T7,Operator,recipe:generate | planner:use | dayplan:execute | hydration:log | food_acceptance:write | note:write | copy:recipe | print:recipe | view,,tenant:self,"Scoped (veteran household, consented)",No,submits_to
PL-108-VACC,VA Program Admin,Customer,COMMUNITY_CARE,Administers the VA program.,VA & Community Care Experience,L3,Phase 3,O1,Org Admin,iam:invite | iam:grant_role | program:configure | report:read_aggregate | audit:read_scoped | view,program:manage,program:va,Aggregate / governed,Yes (role grants),oversees_gate
PL-109-VACC,VA Case Manager,Customer,COMMUNITY_CARE,Manages a veteran caseload.,VA & Community Care Experience,L3,Phase 3,O3,Org Operator,care_profile:view | assign | note:write | report:read_operational | view,,caseload:assigned,Scoped PHI (caseload),No,submits_to
PL-110-VACC,Community Care Coordinator,Customer,COMMUNITY_CARE,Coordinates community resources.,VA & Community Care Experience,L3,Phase 3,O3,Org Operator,care_profile:view | assign | note:write | view,,caseload:assigned,Scoped PHI,No,submits_to
PL-111-VACC,Nonprofit Program Admin,Customer,COMMUNITY_CARE,Runs a nonprofit program.,VA & Community Care Experience,L3,Phase 3,O1,Org Admin,iam:invite | program:configure | report:read_aggregate | view,program:manage,program:nonprofit,Aggregate,Yes (role grants),oversees_gate
PL-112-VACC,Food Bank Partner,Customer,COMMUNITY_CARE,Supply partner; no PHI.,VA & Community Care Experience,L3,Phase 3,O5,Aggregate / Ops Reader,inventory:view | product_catalog:view | report:read_aggregate | view,,partner:contracted,None,No,n/a
PL-113-VACC,Meal Delivery Partner,Customer,COMMUNITY_CARE,Delivery only — least-necessary fields.,VA & Community Care Experience,L3,Phase 3,O5,Aggregate / Ops Reader,order:fulfill | delivery:manage | view:delivery_fields,,partner:contracted,Minimal (delivery address + diet/allergen flags only),No,n/a
PL-114-VACC,Volunteer Coordinator,Customer,COMMUNITY_CARE,Coordinates volunteers.,VA & Community Care Experience,L3,Phase 3,O3,Org Operator,assign:volunteers | iam:invite:volunteer | note:write | report:read_operational | view,,program:region,Minimal,No,submits_to
PL-115-VACC,Community Kitchen Lead,Customer,COMMUNITY_CARE,Runs a community kitchen.,VA & Community Care Experience,L3,Phase 3,O3,Org Operator,recipe:generate | recipe:edit_flavor | planner:use | shopping:manage | copy:recipe | print:recipe | food_acceptance:write | view,,kitchen:assigned,Scoped (diet/allergen),No,submits_to
PL-116-VACC,Benefits Navigator,Customer,COMMUNITY_CARE,Helps people access benefits.,VA & Community Care Experience,L3,Phase 3,T8,Reader / Viewer,view | note:write | report:read_aggregate | enroll:assist,enroll:assist,caseload:assigned,Scoped (enrollment),No,n/a
PL-117-VACC,Clinical Reviewer (Community),Customer,COMMUNITY_CARE,Community clinical gate reviewer.,VA & Community Care Experience,L3,Phase 3,T3,Reviewer / Gatekeeper,recipe:clinical_gate_approve:scoped | care_profile:view | reject:gate | note:write | view,gate:approve:program,program:region,Scoped PHI,No,approves_at:scoped
PL-118-CT,Sponsor Admin,Customer,CLINICAL_TRIAL,Sponsor; blinded from PII per protocol.,Clinical Trial Experience,L3,Phase 3,O1,Org Admin,study:configure | iam:grant_role | report:read_aggregate | audit:read_scoped | view,study:manage,study:sponsored,Blinded / aggregate,Yes (role grants),oversees_gate
PL-119-CT,CRO Program Manager,Customer,CLINICAL_TRIAL,Runs trial operations.,Clinical Trial Experience,L3,Phase 3,O2,Sub-Org / Facility Admin,study:configure:ops | assign | report:read_operational | audit:read_scoped | view,,study:assigned,Blinded / scoped,No,oversees_gate
PL-120-CT,Principal Investigator,Customer,CLINICAL_TRIAL,PI accountable for the site.,Clinical Trial Experience,L3,Phase 3,O2,Sub-Org / Facility Admin,protocol_rule:approve | participant:enroll | diagnosis:view | medication:view | recipe:clinical_gate_approve:study | note:write | view,protocol:signoff | gate:approve:site,study:site,Scoped PHI (site participants),Yes (protocol sign-off),approves_at:study
PL-121-CT,Sub-Investigator,Customer,CLINICAL_TRIAL,Delegated investigator tasks.,Clinical Trial Experience,L3,Phase 3,O3,Org Operator,participant:view | recipe:clinical_gate_approve:delegated | note:write | view,gate:approve:delegated,study:site,Scoped PHI,No,approves_at:study
PL-122-CT,Site Coordinator,Customer,CLINICAL_TRIAL,Runs day-to-day site operations.,Clinical Trial Experience,L3,Phase 3,O3,Org Operator,participant:enroll | care_profile:edit:study | food_log:write | note:write | assign | view,crf:manage,study:site,Scoped PHI,No,submits_to
PL-123-CT,Study RDN,Customer,CLINICAL_TRIAL,Study dietitian; gate for the protocol.,Clinical Trial Experience,L3,Phase 3,T3,Reviewer / Gatekeeper,care_profile:edit:nutrition | clinical_limit:set | recipe:clinical_gate_approve:study | note:write | view,gate:approve:study,study:site,Scoped PHI,No,approves_at:study
PL-124-CT,Clinical Research Nurse,Customer,CLINICAL_TRIAL,Research nursing tasks.,Clinical Trial Experience,L3,Phase 3,O3,Org Operator,participant:view | medication:view | food_log:write | hydration:log | note:write | view,,study:site,Scoped PHI,No,submits_to
PL-125-CT,Participant,Customer,CLINICAL_TRIAL,Subject AND app user; logs own data.,Clinical Trial — Profile Subject & App User,L3,Phase 3,T9,Data Subject,self:view | consent:manage | recipe:generate:self | planner:use | hydration:log | food_log:self | copy:recipe | print:recipe | view,consent:manage,subject:self,Self only,No,submits_to
PL-126-CT,Participant Caregiver,Customer,CLINICAL_TRIAL,Caregiver supporting a participant.,Clinical Trial Experience,L3,Phase 3,T7,Operator,recipe:generate | planner:use | dayplan:execute | hydration:log | food_acceptance:write | note:write | copy:recipe | print:recipe | view,,participant:linked,Scoped (consented),No,submits_to
PL-127-CT,Data Manager (Study),Customer,CLINICAL_TRIAL,Owns study data; works on coded data.,Clinical Trial Experience,L3,Phase 3,O6,Org Governance,data:catalog_manage:study | data:export_deid | report:build | audit:read_scoped | view,edc:manage,study:assigned,De-identified / coded,No,n/a
PL-128-CT,CRA or Monitor,Customer,CLINICAL_TRIAL,"Source data verification — read + flag only, no edit.",Clinical Trial Experience,L3,Phase 3,O6,Org Governance,audit:read_scoped | sdv:verify | report:read_operational | view,sdv:verify,study:site,Scoped PHI (read for SDV),No,monitors_gate
PL-129-CT,Safety Reviewer (Study),Customer,CLINICAL_TRIAL,Adjudicates adverse events; escalates to sponsor.,Clinical Trial Experience,L3,Phase 3,T3,Reviewer / Gatekeeper,safety:review | safety:escalate | ae:report | approve:safety | audit:read_scoped | view,ae:adjudicate | escalate:sponsor,study:assigned,Scoped PHI,No,approves_at:safety
PL-130-ENT,Enterprise Super Admin,Customer,ENTERPRISE,"Governs org config, NOT employee household contents. Households via benefit are fully walled.",Enterprise Experience,L3,Phase 3,O0,Org Root,org:configure | iam:grant_role | iam:invite | sso:admin | billing:manage | audit:read_scoped | report:read_operational | view,org:root | DENY:household_phi,org:enterprise,None by default (walled from employee household PHI),"Yes (role grants, SSO)",n/a
PL-131-ENT,Organization Admin,Customer,ENTERPRISE,Administers an organization.,Enterprise Experience,L3,Phase 3,O1,Org Admin,iam:grant_role | iam:invite | org:configure:sub | report:read_operational | audit:read_scoped | view,,org:assigned,None by default,Yes (role grants),n/a
PL-132-ENT,Tenant Admin,Customer,ENTERPRISE,Administers a tenant group.,Enterprise Experience,L3,Phase 3,O2,Sub-Org / Facility Admin,iam:invite:tenant | tenant:configure | report:read_operational | view,,org:tenant-group,None by default,No,n/a
PL-133-ENT,Department Admin,Customer,ENTERPRISE,Department-level admin.,Enterprise Experience,L3,Phase 3,O2,Sub-Org / Facility Admin,iam:invite:dept | seat:manage:dept | report:read_aggregate | view,,org:dept,None,No,n/a
PL-134-ENT,Benefits Admin,Customer,ENTERPRISE,"Manages the benefit, not health data.",Enterprise Experience,L3,Phase 3,O5,Aggregate / Ops Reader,seat:manage | benefit:configure | report:read_aggregate | view,,org:enterprise,"None (eligibility only, no health)",No,n/a
PL-135-ENT,Compliance Admin (Enterprise),Customer,ENTERPRISE / COMPLIANCE,Org compliance posture.,Enterprise Experience,L3,Phase 3,O6,Org Governance,compliance:configure:org | retention:configure:org | audit:read_scoped | view,,org:enterprise,Governed metadata,Yes (retention),n/a
PL-136-ENT,Legal Reviewer (Enterprise),Customer,ENTERPRISE / LEGAL,Org legal review.,Enterprise Experience,L3,Phase 3,O6,Org Governance,legal:review | approve:legal | view,,org:enterprise,Scoped as needed,No,approves_at:legal
PL-137-ENT,Privacy Admin (Enterprise),Customer,ENTERPRISE / PRIVACY,Org privacy & DSRs.,Enterprise Experience,L3,Phase 3,O6,Org Governance,privacy:review | privacy:dsr_process:org | audit:read_scoped | view,dsr:process,org:enterprise,Governed,No,n/a
PL-138-ENT,Data Admin (Enterprise),Customer,ENTERPRISE / DATA,Org data integrations & feeds.,Enterprise Experience,L3,Phase 3,O6,Org Governance,data:integration_manage | data:export_deid | data:catalog_manage:org | view,integration:manage,org:enterprise,De-identified,No,n/a
PL-139-ENT,Reporting Executive,Customer,ENTERPRISE,Reads outcomes/ROI; never touches personal data.,Enterprise Experience,L3,Phase 3,O5,Aggregate / Ops Reader,report:read_aggregate | view,,org:enterprise,Aggregate-only (small-cell suppressed),No,n/a
PL-140-ENT,Support Admin (Enterprise),Customer,ENTERPRISE / SUPPORT,Org-side support; routes to Pop & Ladle.,Enterprise Experience,L3,Phase 3,O3,Org Operator,support:ticket_manage | support:account_state | support:escalate | view,,org:enterprise,None (no health content),No,n/a
PL-141-ENT,Finance and Billing Admin,Customer,ENTERPRISE,"Seats, invoices, budget.",Enterprise Experience,L3,Phase 3,O5,Aggregate / Ops Reader,billing:manage | seat:manage | report:read_operational:billing | audit:read_scoped | view,,org:enterprise,None (no user content),No,n/a
PL-142-HH,Employee Caregiver,Customer,HOUSEHOLD,Full Owner of their own private household via benefit. Employer pays but cannot see any of it.,Private Household App via Enterprise Benefit,L3,Phase 3,T5,Tenant Owner,iam:invite | iam:grant_role:household | billing:view | household:settings | care_profile:create | care_profile:edit | hard_rule:edit | medication:edit | diagnosis:edit | recipe:generate | recipe:edit_flavor | recipe:edit_content | recipe:version_manage | copy:recipe | print:recipe | favorite:recipe | planner:manage | dayplan:execute | shopping:manage | commerce:order | hydration:log | food_acceptance:write | note:write | issue:report | delegation:manage | export:tenant | view,employer_pays_cannot_view | full_owner_of_own_household,tenant:self,Full (own household),No,submits_to
PL-143-ENT,Partner Admin,Customer,ENTERPRISE,Manages a contracted book of business.,Enterprise Experience,L3,Phase 3,O2,Sub-Org / Facility Admin,iam:invite:managed | account:provision | report:read_operational | audit:read_scoped | view,partner:slice_manage,partner:contracted,None (no other org or personal data),Yes (provisioning),n/a
